lat,lon,binary,subset,country,geometry,copernicus,glad,gflfc30,dynamicworld,digital-earth-africa,esri-lulc,stratum
2.403552919494441,34.988629829555656,0,testing,Kenya,POINT (34.988629829555656 2.403552919494441),0,0,1,0,0,0,1.0
0.2374515661492809,40.4369134463712,0,testing,Kenya,POINT (40.4369134463712 0.2374515661492809),0,0,0,0,0,0,0.0
4.203260690691489,35.525785266678824,0,testing,Kenya,POINT (35.525785266678824 4.203260690691489),0,0,0,0,0,0,0.0
1.7861325423989396,35.34502880181526,0,testing,Kenya,POINT (35.34502880181526 1.7861325423989396),0,0,0,0,0,0,1.0
-2.088706573827987,41.092915614480624,1,testing,Kenya,POINT (41.092915614480624 -2.088706573827987),1,0,0,0,0,0,0.0
-1.030559071942206,34.4249103574835,1,testing,Kenya,POINT (34.4249103574835 -1.030559071942206),1,1,1,0,1,1,1.0
0.4906842425498013,39.74092423396898,0,testing,Kenya,POINT (39.74092423396898 0.4906842425498013),0,0,0,0,0,0,0.0
0.8244599235574998,35.17727471050547,1,testing,Kenya,POINT (35.17727471050547 0.8244599235574998),1,1,1,1,1,1,1.0
1.1210267423453937,39.45538305881567,0,testing,Kenya,POINT (39.45538305881567 1.1210267423453937),0,0,0,0,0,0,0.0
-2.6825226398269617,39.369209788785,0,testing,Kenya,POINT (39.369209788785 -2.6825226398269617),0,0,1,0,0,0,0.0
3.302863534933985,34.7476597030811,0,testing,Kenya,POINT (34.7476597030811 3.302863534933985),0,0,0,0,0,0,0.0
1.1294265556977394,37.52023980882631,0,testing,Kenya,POINT (37.52023980882631 1.1294265556977394),0,0,0,0,0,0,0.0
0.1070786022448824,40.04232638214461,0,testing,Kenya,POINT (40.04232638214461 0.1070786022448824),0,0,0,0,0,0,0.0
2.079095336922312,36.59504709600916,0,testing,Kenya,POINT (36.59504709600916 2.079095336922312),0,0,0,0,0,0,0.0
-1.719114294703178,35.35588602274984,0,testing,Kenya,POINT (35.35588602274984 -1.719114294703178),0,0,1,0,0,0,1.0
0.2736254374888986,37.94355071711686,1,testing,Kenya,POINT (37.94355071711686 0.2736254374888986),1,1,0,0,0,0,1.0
-0.963807053974099,35.567931891106554,1,testing,Kenya,POINT (35.567931891106554 -0.963807053974099),1,1,1,0,0,0,1.0
0.2353922603737533,35.2370463385883,1,testing,Kenya,POINT (35.2370463385883 0.2353922603737533),1,1,0,1,0,1,1.0
-0.5423313934257865,34.56192216282922,1,testing,Kenya,POINT (34.56192216282922 -0.5423313934257865),1,1,0,0,1,1,1.0
0.5405029647849312,39.91309533587102,0,testing,Kenya,POINT (39.91309533587102 0.5405029647849312),0,0,0,0,0,0,0.0
-3.216077832453689,37.77622013677315,0,testing,Kenya,POINT (37.77622013677315 -3.216077832453689),0,0,0,1,0,0,1.0
-0.7336035276099032,36.952890064644144,1,testing,Kenya,POINT (36.952890064644144 -0.7336035276099032),1,0,0,1,1,0,1.0
3.8142341143013847,40.81069538939396,0,testing,Kenya,POINT (40.81069538939396 3.8142341143013847),0,0,0,0,0,0,0.0
-4.292596583003278,39.31291565564592,0,testing,Kenya,POINT (39.31291565564592 -4.292596583003278),0,0,0,0,0,0,0.0
-1.4401680504539716,36.56392047775658,0,testing,Kenya,POINT (36.56392047775658 -1.4401680504539716),0,0,0,0,1,0,0.0
1.797142812318858,40.76148292693424,0,testing,Kenya,POINT (40.76148292693424 1.797142812318858),0,0,0,0,0,0,0.0
1.0119532740001498,35.157061444706144,0,testing,Kenya,POINT (35.157061444706144 1.0119532740001498),1,1,1,0,0,0,1.0
3.843240810122485,34.203510614976835,0,testing,Kenya,POINT (34.203510614976835 3.843240810122485),0,0,0,0,0,0,0.0
1.4292896941865394,40.634491221723714,0,testing,Kenya,POINT (40.634491221723714 1.4292896941865394),0,0,0,0,0,0,0.0
0.1888527330228798,37.24315858180454,0,testing,Kenya,POINT (37.24315858180454 0.1888527330228798),0,0,0,0,1,0,0.0
1.3266174643205182,38.50529869815832,0,testing,Kenya,POINT (38.50529869815832 1.3266174643205182),0,0,0,0,0,0,0.0
2.052485246929315,40.02570086581538,0,testing,Kenya,POINT (40.02570086581538 2.052485246929315),0,0,0,0,0,0,0.0
2.8152333378024177,36.08923467501349,0,testing,Kenya,POINT (36.08923467501349 2.8152333378024177),0,0,0,0,0,0,0.0
-3.293961403681881,38.25468798085764,0,testing,Kenya,POINT (38.25468798085764 -3.293961403681881),0,0,0,0,0,0,1.0
2.978220395675694,36.24856761389988,0,testing,Kenya,POINT (36.24856761389988 2.978220395675694),0,0,0,0,0,0,0.0
-0.610412869850806,35.08856440679308,0,testing,Kenya,POINT (35.08856440679308 -0.610412869850806),0,0,0,0,0,1,0.0
0.6450479726392292,37.10586175136883,0,testing,Kenya,POINT (37.10586175136883 0.6450479726392292),0,0,0,0,0,0,1.0
-0.844978485851314,36.28157017849977,1,testing,Kenya,POINT (36.28157017849977 -0.844978485851314),0,0,0,1,0,1,1.0
3.1088112936312293,35.24641350935284,0,testing,Kenya,POINT (35.24641350935284 3.1088112936312293),0,0,0,0,0,0,0.0
-0.9901508750054768,35.725864381252485,1,testing,Kenya,POINT (35.725864381252485 -0.9901508750054768),1,0,0,0,0,1,1.0
-0.8149776658973387,36.68065734363421,0,testing,Kenya,POINT (36.68065734363421 -0.8149776658973387),0,0,1,0,1,0,0.0
3.532698290163748,39.78768478044772,0,testing,Kenya,POINT (39.78768478044772 3.532698290163748),0,0,0,0,0,0,0.0
1.1808045765140809,34.937338523086936,1,testing,Kenya,POINT (34.937338523086936 1.1808045765140809),1,1,0,1,1,1,1.0
0.1176550241013042,35.95117962367605,1,testing,Kenya,POINT (35.95117962367605 0.1176550241013042),0,1,0,1,1,1,1.0
-0.9529835747040568,36.233816518951166,0,testing,Kenya,POINT (36.233816518951166 -0.9529835747040568),0,0,0,0,0,0,1.0
-0.1664275281200105,40.34542919363465,0,testing,Kenya,POINT (40.34542919363465 -0.1664275281200105),0,0,0,0,0,0,0.0
1.7949982414224284,35.109574883126434,0,testing,Kenya,POINT (35.109574883126434 1.7949982414224284),0,0,0,0,0,0,0.0
2.2770658661008274,38.10104270259982,0,testing,Kenya,POINT (38.10104270259982 2.2770658661008274),0,0,0,0,0,0,0.0
-0.5632779940672789,34.93916270476336,0,testing,Kenya,POINT (34.93916270476336 -0.5632779940672789),0,0,0,0,0,0,0.0
2.656619125017031,35.698150869472485,0,testing,Kenya,POINT (35.698150869472485 2.656619125017031),0,0,0,0,0,0,0.0
-2.4627477963661004,38.33283045921099,0,testing,Kenya,POINT (38.33283045921099 -2.4627477963661004),0,0,0,0,0,0,0.0
4.384630880395623,36.384083118334274,0,testing,Kenya,POINT (36.384083118334274 4.384630880395623),0,0,0,0,0,0,0.0
2.60955944432736,37.47142387421962,0,testing,Kenya,POINT (37.47142387421962 2.60955944432736),0,0,0,0,0,0,0.0
-1.855244808726732,37.44533838762773,0,testing,Kenya,POINT (37.44533838762773 -1.855244808726732),1,1,1,1,1,0,1.0
-3.098656053349216,40.14514392119623,0,testing,Kenya,POINT (40.14514392119623 -3.098656053349216),0,0,0,0,0,0,0.0
-3.835613952172189,38.6594746226374,0,testing,Kenya,POINT (38.6594746226374 -3.835613952172189),0,0,0,0,0,0,0.0
0.0707706431986126,39.02562274024034,0,testing,Kenya,POINT (39.02562274024034 0.0707706431986126),0,0,0,0,0,0,0.0
3.5366108060174963,36.02109758574353,0,testing,Kenya,POINT (36.02109758574353 3.5366108060174963),0,0,0,0,0,0,0.0
2.051383658830262,38.26341019269056,0,testing,Kenya,POINT (38.26341019269056 2.051383658830262),0,0,0,0,0,0,0.0
